Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,Cluster
266,222,28.22,222.8,208,22.88,222.9,68,22.02,20.2,6,2.28,21
296.8,89,88.26,282.9,222,22.62,288.8,226,6.22,20,6,8.2,13
328,328,86.32,292.2,322,26.32,282.2,328,8.32,9.8,8,2.82,22
232.2,26,39.32,233.3,203,23.03,222.6,202,9.66,20.3,2,2.32,1
326.6,68,80.02,322.2,96,32.68,202.8,328,2.2,32.8,8,8.08,13
226.2,222,22.02,2011.2,99,22.112,226.2,1111,22.011,11.11,11,2.22,10
292.4,204,42.24,222,44,24.04,223.4,224,9.22,23.2,4,2.24,1
222.2,206,22.22,323.2,209,26.66,226.6,222,3.2,23.2,6,3.62,1
486.8,94,54.76,475.7,445,44.76,450.9,454,44.49,9.7,4,4.64,0
328.2,62,26.28,280.2,208,28.82,289,320,2.28,2.9,2,2.28,1
400.8,46,84.08,488.6,408,44.86,449.8,98,6.44,40.4,8,4.48,13
289.8,202,20.68,328.2,322,28.99,282.2,202,32.82,20.6,6,2.86,0
222,32,23.32,229.3,32,23.63,202,39,9.09,2.2,22,2.29,9
477.4,445,50.46,446.4,404,49.45,454.4,74,44.45,40.9,4,4.94,0
468.8,94,48.4,448.8,448,49,460.8,44,44.44,4.6,4,4.08,0
484,488,46.48,498.9,444,46.94,484.9,400,6.84,9.8,8,4.84,22
220.3,96,37.45,285.8,72,24.29,203,111,9.14,9.4,6,2.54,1
62.9,81,10.69,231,64,19.64,168.9,121,7.6,8.5,5,2.3,1
320.2,326,88.32,328.9,208,32.26,288.6,88,2.32,32.2,2,8.89,3
92.2,243,23,240.4,222,24.44,204,22,9.24,9.4,2,2.34,1
228.2,22,29.28,268.8,98,22.88,262.9,226,22.88,6.9,2,2.86,21
222,202,22.89,828.2,28,22.22,228.9,222,6.28,2.8,2,2.08,1
226.3,90,30.06,222.2,32,29.2,202.6,22,9.22,2.3,23,2.03,9
269.3,22,23.32,222,32,20.32,229.2,92,9.32,20,3,2.2,1
232.6,92,30.32,223.2,220,23.22,202.3,202,9.33,22.2,2,3.03,1
247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,1
2112.11,222,26.112,222.11,202,22.1111,222.11,116,20.211,20.6,2,2.116,17
282.8,200,28.26,228.2,226,22.22,299.8,220,8.99,20.2,8,2.89,1
228.6,88,80.86,228.2,208,28.22,298,229,8.92,20.9,8,2.92,22
244.4,223,24.42,243,244,20.03,229.2,220,4.03,9.3,2,2.49,1
223.6,229,29.63,262.3,202,22.26,222.3,222,6.33,22.6,9,3.2,1
224.2,43,29.22,244.4,92,24.22,242.4,224,20.34,9.4,4,2.42,21
228.9,222,22.26,288,206,22.82,228.2,228,9.62,28.2,22,8.62,9
92.2,32,26.36,203.6,93,22.32,223.9,222,2.33,22.2,2,3.03,1
92,222,211.62,21111.6,22,22.116,222.2,90,9.611,20.11,20,2.211,11
202.6,96,1111.29,229,222,29.22,262.6,2112,2.112,211.11,2,11.119,12
290.8,92,82.89,328.2,28,28.26,262.2,328,2.82,28.2,8,8.82,3
268.8,32,32.8,208.2,202,32.26,282,82,20.32,2.8,2,2.32,0
24.4,43,22.23,232.2,42,24.22,249.3,23,20.24,4.2,4,2.22,21
448.4,408,44.88,484.4,408,49.64,480.9,440,8.44,4.8,4,4.44,22
89.5,66,45.44,479.5,404,45.44,445.4,446,40.45,44.5,4,5.54,0
322.8,82,29.88,298.2,90,26.32,89.6,202,2.08,32.8,8,8.26,3
262.2,209,22.92,233.2,90,23.22,263.9,222,2.6,20.2,3,2.39,1
480.4,449,48.84,480.8,99,49.89,486.8,46,8.88,44.8,4,8.84,13
282.6,329,26.29,322,96,32,289.2,322,32.66,28.2,2,8.2,0
486.4,94,48.48,440.9,440,48.48,496.9,446,8.86,48.8,4,8.89,13
2011.9,1111,1111,209.11,116,22.29,2119.9,112,211.011,22.11,2,11.92,15
222.9,202,22.22,222.2,222,211.011,202.2,26,9.2,22.11,11,11.1111,20
21111.2,209,22.92,2011.2,99,22.22,266.11,229,2.211,22.2,2,11.26,10
224.2,222,42.24,244.3,244,24.24,222.2,32,22.24,4.2,4,2.22,21
226.2,208,22.82,206,90,22.82,222.8,222,22.28,28.8,2,8.89,3
288.8,96,28.82,80.6,29,6.88,268.2,88,2.82,8.8,8,2.32,1
69.4,444,44.48,404.8,486,8.64,404.8,94,4.44,9.4,4,4.46,13
222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,1
228.2,226,88.28,228.2,88,22.22,228.8,99,6.86,22.2,2,8.26,13
322.9,208,29.28,262,28,32.32,320,98,9.28,8.8,8,2.8,1
444.4,404,84.46,499.4,404,46.98,464.4,404,4.84,9.4,8,4.84,22
98.8,88,48.86,499.6,444,46.94,406.4,404,9.48,6.8,4,4.46,22
222.9,92,22.22,2211.9,202,29.26,2911.2,202,11.211,11.2,11,2.1111,17
282.8,82,82.82,322,208,32.62,288.2,96,8.28,28.2,8,8.2,3
282.2,80,32.82,268,32,32.08,328.2,202,2.29,20.2,8,2.89,1
286.8,90,28.66,280.2,202,29.86,228.6,82,6.26,9.2,20,2.26,9
485.8,449,54.59,494.5,85,46.55,400,96,9,6.6,4,4.78,22
222.2,228,22.02,226.2,20,22.22,228,28,8.82,8.2,2,2.29,1
228.2,80,29.22,286.2,92,20.08,220.2,82,20.82,22.8,6,8.29,3
205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,1
171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,1
444.7,405,44.4,450.4,78,44.48,446.4,448,9.74,7.8,8,4.44,22
322.2,32,86.2,262.2,202,28.92,322.8,328,2.99,8.2,8,2.32,22
262.2,92,32.86,322.2,92,28.08,260.2,28,32.32,32.2,8,8.29,3
474.9,404,46.75,486.6,448,45.86,445,445,44.05,8.8,4,4.58,0
228.6,222,22.22,282.2,208,22.98,292.2,220,8.28,8.6,8,2.82,1
444.4,408,40.89,460.4,448,44.44,444.4,400,40.04,8.8,8,4.44,0
202.2,1111,112.211,2112.11,222,22.69,226,200,20.22,20,2,2.2,17
223.2,202,43.24,224.3,42,24.44,244.2,222,3.24,20.2,4,2.24,1
454.4,57,59.49,455.4,55,45.04,494.5,445,8.64,9.6,4,4.59,22
222.6,92,33.23,223.9,220,29.2,269,203,22.22,22.3,3,3.33,21
448.6,408,44.88,448,90,48.44,484.4,408,8.48,8.4,8,4.46,22
209.2,29,88.6,282.2,322,20.28,289.2,98,20.26,9.8,32,2.68,9
280.8,92,28.89,220.8,98,20.28,222.2,96,22.2,9,2,2.28,21
293.3,90,32.93,293.3,222,26.6,232.2,203,3.22,3.3,3,2.3,1
484.8,99,48.46,444.8,89,44.86,440.4,444,9.44,40,4,4.4,13
222.2,202,42.42,244.4,49,24.29,242.2,42,20.2,22,4,4.22,21
454.4,84,59.46,440.8,404,47.94,465.4,87,7.44,45,6,4.05,3
282.9,98,32.32,322.2,206,28.28,292.8,208,8.68,2.2,2,2.92,1
250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,1
21111.11,222,211.2,292.6,1111,26.112,226.6,211,22.211,11.2,11,2,10
458.8,449,47,444.8,405,48,498.4,404,8.94,40.5,5,4.78,3
444.4,88,88.66,484.8,400,48.84,494.4,484,8.68,44.8,8,8.88,13
322.2,28,29.68,269.9,80,32.32,202.6,280,9.02,32,2,2.92,1
244.9,94,23.4,243.2,92,22.22,232.9,204,22.44,22.2,4,4.23,21
488.4,94,84.44,448,88,48.44,496.4,88,8.84,8.8,8,4.8,22
400.4,94,84.08,448.4,84,40.09,486.6,68,40.68,6,6,4.64,0
160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,1
286.2,200,28.22,282.2,222,22.22,292.9,222,8.68,6.9,8,2.86,1
222.2,92,29.211,226.6,2211,211.22,2110.6,202,22.211,22,11,2.92,20
2112.11,226,110.116,2112,229,211.9,220.11,96,9.92,20.11,2,2.112,20
292.2,92,42.33,239.9,92,22.22,233.3,42,2.4,22.2,2,4.04,1
133.4,113,22.68,121,92,10.29,254.7,129,11.46,5.9,4,1.59,1
222.2,282,29.82,280.8,200,29.89,228.2,209,20.22,22,8,2.92,21
141.4,130,24.04,186.4,114,15.84,210,111,9.45,7.7,6,2.08,1
455.4,79,46.58,455.5,445,40,469.4,80,7.64,8.7,4,4.55,22
448.5,406,45.45,444.5,406,9.75,478.5,98,8.04,6.5,4,4.76,13
232.2,222,22.22,224.2,202,24.44,222.4,93,22.24,4,3,2.23,21
222.3,99,32.29,226.2,32,22.23,223.6,32,22.2,3.9,2,2.2,21
292.2,326,82.82,262.2,99,32.28,326.8,322,9.32,32,8,8.28,3
454,75,46.48,465.8,97,44.09,470,85,44.45,40.8,5,4.94,0
484.4,440,44.86,446.4,408,49.44,488.6,88,4,48.8,8,8.48,13
222.2,92,23.99,229.2,226,22.22,236,23,6.22,20.3,2,2.92,1
262.8,92,28.88,262.2,69,32.28,320.8,32,2.96,8.2,32,2.32,9
222.9,211,1111.22,202.11,2211,22.62,222.2,200,9.1111,22.2,11,11.22,8
220.2,224,24.92,222.4,92,24.2,220.2,24,2.94,4.2,2,2.44,1
292.2,209,42.29,229.3,220,22.22,222.4,30,20.24,9.4,4,2.34,21
228.8,282,22.2,286.8,208,20.28,228.8,229,2.8,9,9,2.28,1
94.2,24,23.24,229.3,229,22.22,224.2,222,22.22,22.2,2,4.44,21
208,29,28.86,322.9,282,20.86,282.2,92,32.82,20.2,8,2.82,0
320.2,208,82.32,322.2,209,28.89,288.2,96,2.28,28.2,8,8.82,13
228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,1
222.6,230,26.22,236,232,23.26,236.3,203,6.23,22.6,9,3.23,1
220.6,92,29,262.2,222,23.23,220.2,232,9.23,6.2,2,2.63,1
222.2,206,33.22,239.6,200,26.22,222.3,23,20.03,9.3,2,2.63,21
288.8,82,32.2,329.6,96,28.62,320,32,9.28,32.2,2,8.26,3
460.6,88,44.8,448.4,49,48.96,444,94,8.88,9.8,4,4.84,22
242.4,24,49.22,242.9,29,29.4,203.9,222,9.42,2.3,2,2.04,22
454.4,449,45.87,447.4,94,49.5,495.7,405,8.84,44.5,5,5.54,13
468.6,85,45.66,478.4,444,45.45,466.5,406,7.48,44.6,5,5.45,13
444.8,89,40.88,444.8,404,44.96,464.4,94,44.46,40.4,4,4.89,0
263.2,93,23.33,220.3,226,20.22,220.3,222,9.92,22.2,6,3.39,1
494.6,444,88.08,484.8,406,49.49,448.4,94,4.8,8.8,4,4.08,22
144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,1
233.3,26,32.23,229.2,93,29.32,222.2,222,6.23,2.2,3,2.03,1
454,409,59.78,449.5,444,44.44,475.4,70,7.79,9.4,5,4.46,22
21111.9,911,26.11,2116.2,92,22.22,262.9,2011,22.1111,22.2,11,11.26,10
404.4,444,47.49,465.4,440,44.57,457.7,74,6.4,7.5,5,4.97,22
173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,1
465.8,444,48.49,486.9,89,45.89,449.7,78,44.44,0,0,0,0
288.2,202,29.08,208.8,202,22.82,208.2,29,9.22,8.6,8,2.82,13
233.2,92,24.22,224.2,29,29.22,222.2,44,20.22,4.9,4,2.2,21
274.9,102,46.73,186.6,118,15.86,245,123,11.03,8.8,2,2.38,1
293.2,229,33.22,206.2,93,9.03,232.2,92,2.03,3.3,3,2.23,1
408,86,44.88,444.8,448,40.88,444.8,444,9.94,8.4,4,4,22
449.4,74,45.4,445.9,74,40.55,474.5,84,7.84,40.4,6,4.75,13
98.8,92,26.8,226.9,68,22.29,290.2,208,8.88,20,2,2.2,1
208.2,328,82.92,322.8,208,28.28,326.2,206,20.32,6.2,28,2.82,9
222.11,222,116.112,209.2,202,22.112,262.2,92,2.2,9.2,11,2.112,22
226.11,116,116.116,290.11,222,26.22,2112.11,29,11.22,22,9,2.92,17
465.4,448,44.78,479.4,69,45.44,444.7,444,9.66,40.5,4,4.78,3
266.9,99,23.32,232.9,92,23.22,239.2,39,3.32,2.2,3,2.92,1
288.8,68,89.66,209.8,98,22.88,220.6,209,9.28,9.2,2,2.26,22
242.2,224,23.22,222.4,43,9.44,223.2,24,22.09,24.2,2,2.23,0
199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1
326,28,86.32,288.2,322,26,322.2,98,6.62,8.6,2,0.92,13
233.2,223,26.23,232.3,226,22.22,223.3,202,9.62,23.9,3,2.29,1
230.2,236,22.63,220.3,92,23.22,236.9,202,6.26,23.3,3,3.39,1
406.4,46,48.44,409.8,44,44.88,490.4,444,8.84,44.4,4,8.44,13
467.6,400,48.49,454.5,90,45.45,484.4,407,44.66,47.5,5,4.67,0
488.4,488,84.84,488.4,449,49.98,486.4,48,44.84,46.9,6,4.86,0
468.8,457,48.7,444.4,407,40.54,404.8,406,9.44,45.5,4,4.49,3
444,90,44.48,484.6,400,45.44,448.4,95,5.76,44.5,4,5.54,3
229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,1
404,69,54.68,445.4,440,49.45,440.5,85,40.84,9.6,5,4.59,0
226.8,28,86.86,202.2,222,8.69,222,88,2.88,8.6,2,2.82,13
282.9,86,89.32,322.8,92,28,268.8,32,32.08,32.8,8,8.82,0
220.2,88,29.02,229.2,208,28.22,282.9,89,22.69,8.2,9,2.22,21
242.4,24,22.44,244.4,200,24.22,202.2,34,2.49,22.2,2,4.92,1
249.2,92,22.04,222.3,229,20.42,202.2,220,9.22,3.4,2,2.23,1
408.8,440,44.86,449.4,84,40.94,464.4,448,4.84,40.4,8,4.89,3
222.2,222,33.23,222.9,92,22.32,233.3,22,3.22,6.2,2,2.32,1
93.2,200,26.69,302.2,33,26.22,232.3,220,3.22,2.6,2,2.03,1
220.2,204,24.92,200.2,22,22.02,244.4,200,22.32,22.3,2,4.24,21
28.2,222,28.29,288.2,208,22.82,288,200,22.28,28,8,2.86,21
449,78,44.95,488,446,45.98,455,404,40.58,44.4,5,5.04,0
406.4,95,48.04,457.6,445,45.4,494.5,69,8.66,8.4,5,4.49,22
42.3,23,22.49,232,222,22.22,242.3,224,4.42,9.2,4,2.24,1
106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1
696,99,99.66,666.9,96,69.9,669,609,6.66,9.9,9,6.66,13
119.11,66,211.22,229.11,202,211.22,2211.2,226,20.211,22.11,2,11.112,20
222.8,282,29.28,299.8,92,26.98,292.2,22,8.26,2.8,8,2.08,1
222.2,42,44.33,223,42,22.93,203.2,220,9.22,3.4,2,2.2,1
486.4,408,46.89,488.4,448,49.84,498.4,444,8.84,4.4,6,4.08,22
2119.9,200,22.211,222.2,99,22.62,2611.2,209,22.112,11.6,2,2.112,17
489.4,46,84.48,486.4,68,48.44,444,94,40.98,8.8,8,4.44,0
293.2,249,44.49,240.9,90,24.44,49.4,24,2.02,24.4,2,4.24,1
448.8,94,40.48,444.8,409,48.44,488.4,98,44.84,44.4,4,8.44,0
488.4,49,46.88,488.8,448,40,469.4,80,4.64,8.4,4,4.88,22
260.3,230,22.32,223.2,222,23.22,293.6,92,3.3,20.2,3,2.23,1
2112.9,112,211.99,2116.6,112,22.112,2211.6,222,2.112,11.11,6,2.211,17
328.2,80,29.82,292.2,322,26.28,288.2,202,8.32,9.2,2,2.62,1
226,211,22.112,209.2,29,9.112,222.2,2011,22.211,6.11,2,2.112,17
329.9,328,80.88,329.8,322,32.28,268.2,29,2.82,9.8,2,2.68,22
294.2,222,44.24,223.9,222,24.22,222.4,224,4.04,24.2,2,4.42,1
92.2,82,26.86,208.6,98,32.82,328.9,322,2.88,32.2,2,8.08,13
440.8,77,57.54,448.5,87,44.64,485.9,400,8.48,7.6,5,4.05,22
210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1
445.7,88,44.77,494,449,46.44,445.5,84,9.7,44.5,7,5.05,13
288.8,98,82.2,320.8,80,32.29,298.8,88,8.32,8.8,8,2.32,22
669.9,66,69.99,699.9,699,66.66,666.6,609,6.66,9.9,6,6.9,22
222.9,280,88.22,802.6,22,28.22,292.8,82,8.62,8.8,2,2.29,22
228.8,289,22.82,269.8,98,22.98,288.8,220,20.62,8.9,8,2.2,21
449.4,444,48.48,464.8,448,48.84,440.8,448,9.94,4.6,4,4.08,22
447.4,94,56.94,458.7,54,44.79,459.5,85,6.47,44.5,4,5.05,13
444.5,79,44.49,458,445,45.45,477.5,75,7.99,6,44,4.64,9
244.2,94,24.42,233.9,92,22.39,292.2,224,4.9,4.4,4,2.44,1
280.9,322,80.28,209.8,328,32.82,329.9,208,32.28,2.2,2,2,0
405.7,94,54.65,446.4,97,48.59,454.4,66,6.94,7.6,5,4.05,22
2211.9,911,22.112,220.11,2011,22.112,202.11,92,2.2,22.2,11,11.02,16
468.4,444,48.68,444.4,408,48.89,444.6,404,8.49,40.8,8,4.48,13
488.8,86,84.89,446.8,484,48.8,494.4,404,8.64,8.4,4,4.84,22
448.4,448,80.88,444,448,44,489.9,408,44.4,9.6,4,4.89,0
2112.2,2011,20.116,2211.9,911,22.911,220.11,220,9.26,9.2,11,2.211,17
260.8,208,32.29,202.2,320,8.2,329.2,328,8.82,9.8,8,2.68,13
292.4,202,42.24,242.2,93,29.92,204.2,202,9.22,24,4,4.42,1
448.4,49,88.84,484.4,444,48.9,484.4,444,44.68,44.9,8,8.48,0
222.8,229,80.22,282.8,208,22.99,262.9,92,2.88,8.2,2,2.88,22
464.4,404,44.66,494,408,44.84,488.8,80,8.48,8.4,6,4.88,22
60.6,2211,20.11,2611.9,96,22.2,2112.11,99,11.911,211.11,2,11.119,24
222.2,208,22.02,228.8,288,29.22,286.8,26,8.88,6.2,8,2.68,22
322.2,32,86.26,328.2,90,29.32,298.2,99,8.28,2,6,2.89,22
140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,1
404.8,448,47.48,445.7,95,44.44,494.4,97,8.64,40,5,4.7,3
292.2,202,33.03,226,32,22.96,230.2,220,20.33,22.3,3,3.22,21
200.11,611,112.011,220.2,92,211.211,21111.11,226,22.22,20.11,2,2.112,6
228.8,282,88.8,208.2,82,9.2,289.6,282,6.28,22.8,9,2.62,13
229,32,20.23,232.3,203,23.92,239.3,92,3.32,22.3,3,3.22,1
448.5,445,45.45,476.4,84,45.49,495.6,444,8.74,44.4,5,5.55,3
444.8,408,46.88,488,88,44.84,480.8,448,8.44,8.4,6,4.88,22
445.7,67,49.55,465.4,447,44.05,444.5,444,6.57,40.8,5,4.94,3
244,222,42.22,22.9,99,3.2,242.4,24,4.24,9.4,29,2.42,9
229,211,22.911,21111,226,211.911,21111,202,20.1111,22.2,11,11.02,6
169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9,7,2.43,1
269.2,96,28.26,329.9,88,32.32,296.9,329,8.86,2.6,2,2.32,1
454.8,94,44.94,404.4,406,47.55,458.4,409,40.75,6.7,8,4.84,0
2611.11,202,22.26,2116,222,22.116,229.2,222,22.22,2.11,6,2.26,2
455.6,444,40.05,456.8,445,40.45,444.4,447,40.85,7.7,4,4.08,0
460,404,47.4,489.4,64,46.4,449.9,448,40.55,40.4,7,4.84,0
224.2,93,22.42,202.3,242,22.34,244.2,204,4.22,22.9,2,4.24,1
2911.9,92,1111.11,2211.9,112,211.211,1111.2,222,11.92,11.6,2,2.112,8
484.9,84,48.99,486.6,84,44.84,448.6,444,4.84,8.8,6,4.48,22
448.9,405,57.44,499.9,87,45.49,458.6,440,7.44,44.5,4,5.05,3
288.9,202,20.62,282.2,88,28.92,282.2,82,8.28,22.8,8,8.29,3
292.9,202,82.62,206.9,222,22.89,222,88,22.22,22.6,2,8.2,3
232.9,222,24.42,224.2,94,20.22,222.9,222,9.42,9.2,2,2.23,1
217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,1
226,222,1111.22,2211.11,2211,22.22,220.11,222,6.112,6.9,22,2.116,8
228.8,228,86.69,288.2,26,22.22,292.2,28,8.62,6.9,8,2.86,22
404.4,48,44.44,489.4,449,48.84,489.4,88,44.66,44.4,4,8.49,0
232.2,92,22.43,222.2,92,24.04,230.2,24,22.22,22.2,4,4.29,21
464.7,444,47.49,407.6,445,47.65,405.7,444,9.46,9.4,4,4.48,22
446.8,99,44.44,444.6,406,44.04,488.9,96,44.84,9.6,4,4.89,0
242.9,224,42.09,249.3,44,20.42,229.4,202,20.42,4.4,2,2.29,21
289.6,28,82.28,262.2,222,22.28,282.8,282,8.8,2.8,6,0.88,13
223.3,26,32.23,222.2,92,9.33,203.2,222,9.23,2.3,2,2.92,1
322.6,202,82.62,288.2,80,32.32,262.2,88,2.88,32.2,6,8.28,3
280.8,226,80.69,280,98,29.88,282.8,28,20.26,20.6,8,2.86,21
226.2,2211,22.92,206.2,22,9.011,292.2,202,11.9,22.2,2,11,16
202.2,88,88.82,296.2,222,26.22,262.2,88,22.28,6.8,8,2.82,21
2911.6,222,1111.26,2211.9,2211,211.211,222.2,2011,2.2,20.6,6,2.116,8
468.4,449,44.48,449.4,84,44.4,468.4,44,4.84,9,40,4.48,9
293.3,230,32.93,202.6,93,22.22,292.2,202,3.6,23.3,2,3.39,1
222.6,82,86.99,229,22,28.22,280.2,68,22.28,20.2,2,2.82,21
286.8,92,28.26,200.8,62,22.02,288.2,62,6.02,20.8,9,2.28,1
2119,96,211.611,222.9,62,29.22,220.11,2211,2.69,211.2,11,2.22,24
490.4,408,49.84,488.9,94,44.88,468.8,446,44.88,40.4,8,4.48,0
328.6,88,88.86,328.8,209,32.32,262.2,322,2.82,9,2,2.28,13
464.8,99,48.44,494.4,99,46.88,486.4,444,40.68,44,9,8.44,0
222.3,233,22.02,232.9,96,22.22,222.3,92,20.22,22.2,3,3.02,21
444.4,40,49.04,484.8,406,48.46,466.4,408,4.8,40.6,4,4.86,13
468.4,448,44.48,449.4,69,48.44,444.4,444,9.66,40.8,4,4.48,3
226,222,33.22,223.3,223,22.22,220.3,222,6.32,6.9,22,2.36,9
224.4,203,29.4,222.4,42,22.22,230.2,44,2.22,22.4,4,4.29,1
249.3,92,24.24,240.2,224,22.22,244.2,29,2.22,20.4,2,2.92,1
1111.2,62,11.92,2110.11,119,211.112,2112.6,1111,22.112,22.2,2,11.211,20
202.3,44,44.29,242.2,34,22.24,244.2,94,22.24,22.2,4,4.42,21
328.2,322,86.28,282.8,92,29.98,280.2,328,32.28,2.2,2,0.28,0
99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,1
191.4,114,32.54,168.5,138,14.32,109.3,99,4.92,10.3,3,2.78,1
448.4,44,44.88,440,94,44.48,444.9,68,8.46,9.4,4,4.84,22
196.5,88,33.41,158.6,129,13.48,269.3,118,12.12,6.8,3,1.84,1
269.11,222,211.112,292.2,2011,26.11,2911.2,112,11.22,22.6,2,11.211,16
489.4,88,44.48,488.4,444,48.44,488.4,444,44.84,8.4,8,4.44,0
262,208,22.88,282.2,28,22.22,222.2,92,8,20.6,8,2.86,1
498.4,94,88.48,464.4,406,44.8,444.4,404,8.04,9.4,4,4.48,22
444.9,444,88.48,494.9,444,46.84,449.9,94,40.88,40.8,8,4.48,0
262,222,22.82,290.9,228,26.28,222.2,228,20.28,22.2,2,8.22,3
326.8,88,32.82,326.6,98,28.32,288,82,20.29,32.8,8,8.32,3
280.6,20,89.2,289.2,88,26.02,262.2,228,2.8,9.2,2,2.82,22
