VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,Churn
0,486.4,94,48.48,440.9,440,48.48,496.9,446,8.86,48.8,4,8.89,False
0,2011.9,1111,1111.0,209.11,116,22.29,2119.9,112,211.011,22.11,2,11.92,False
0,222.9,202,22.22,222.2,222,211.011,202.2,26,9.2,22.11,11,11.1111,False
0,21111.2,209,22.92,2011.2,99,22.22,266.11,229,2.211,22.2,2,11.26,False
0,249.4,202,29.22,244.3,224,22.24,222.4,23,20.94,22.2,2,4.23,True
0,224.2,222,42.24,244.3,244,24.24,222.2,32,22.24,4.2,4,2.22,False
0,226.2,208,22.82,206.0,90,22.82,222.8,222,22.28,28.8,2,8.89,False
28,288.8,96,28.82,80.6,29,6.88,268.2,88,2.82,8.8,8,2.32,False
89,69.4,444,44.48,404.8,486,8.64,404.8,94,4.44,9.4,4,4.46,False
0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,False
22,228.2,226,88.28,228.2,88,22.22,228.8,99,6.86,22.2,2,8.26,False
0,322.9,208,29.28,262.0,28,32.32,320.0,98,9.28,8.8,8,2.8,False
0,222.9,229,29.49,244.0,43,24.43,223.2,200,20.29,9.4,2,2.34,True
0,444.4,404,84.46,499.4,404,46.98,464.4,404,4.84,9.4,8,4.84,False
0,98.8,88,48.86,499.6,444,46.94,406.4,404,9.48,6.8,4,4.46,False
22,222.9,92,22.22,2211.9,202,29.26,2911.2,202,11.211,11.2,11,2.1111,False
0,282.8,82,82.82,322.0,208,32.62,288.2,96,8.28,28.2,8,8.2,False
0,282.2,80,32.82,268.0,32,32.08,328.2,202,2.29,20.2,8,2.89,False
0,286.8,90,28.66,280.2,202,29.86,228.6,82,6.26,9.2,20,2.26,False
0,485.8,449,54.59,494.5,85,46.55,400.0,96,9.0,6.6,4,4.78,False
0,222.2,228,22.02,226.2,20,22.22,228.0,28,8.82,8.2,2,2.29,False
22,243.4,92,24.23,200.4,32,22.02,244.2,32,3.02,20.4,9,2.24,True
0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,True
0,262.2,222,22.22,228.2,202,28.88,222.8,96,22.28,8.0,6,2.26,True
0,228.2,80,29.22,286.2,92,20.08,220.2,82,20.82,22.8,6,8.29,False
0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,False
0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,False
48,444.7,405,44.4,450.4,78,44.48,446.4,448,9.74,7.8,8,4.44,False
0,322.2,32,86.2,262.2,202,28.92,322.8,328,2.99,8.2,8,2.32,False
0,262.2,92,32.86,322.2,92,28.08,260.2,28,32.32,32.2,8,8.29,False
0,484.4,44,89.46,844.4,88,44.8,446.8,449,40.49,40.9,4,4.94,True
47,474.9,404,46.75,486.6,448,45.86,445.0,445,44.05,8.8,4,4.58,False
0,228.6,222,22.22,282.2,208,22.98,292.2,220,8.28,8.6,8,2.82,False
0,229.2,242,22.94,224.4,44,29.22,204.4,222,9.2,22.2,3,4.24,True
48,444.4,408,40.89,460.4,448,44.44,444.4,400,40.04,8.8,8,4.44,False
0,202.2,1111,112.211,2112.11,222,22.69,226.0,200,20.22,20.0,2,2.2,False
0,223.2,202,43.24,224.3,42,24.44,244.2,222,3.24,20.2,4,2.24,False
0,454.4,57,59.49,455.4,55,45.04,494.5,445,8.64,9.6,4,4.59,False
0,222.6,92,33.23,223.9,220,29.2,269.0,203,22.22,22.3,3,3.33,False
0,448.6,408,44.88,448.0,90,48.44,484.4,408,8.48,8.4,8,4.46,False
0,209.2,29,88.6,282.2,322,20.28,289.2,98,20.26,9.8,32,2.68,False
0,280.9,282,89.28,328.2,99,20.62,282.2,82,8.32,32.0,2,2.92,True
0,280.8,92,28.89,220.8,98,20.28,222.2,96,22.2,9.0,2,2.28,False
0,293.3,90,32.93,293.3,222,26.6,232.2,203,3.22,3.3,3,2.3,False
44,484.8,99,48.46,444.8,89,44.86,440.4,444,9.44,40.0,4,4.4,False
0,222.2,202,42.42,244.4,49,24.29,242.2,42,20.2,22.0,4,4.22,False
0,454.4,84,59.46,440.8,404,47.94,465.4,87,7.44,45.0,6,4.05,False
0,282.9,98,32.32,322.2,206,28.28,292.8,208,8.68,2.2,2,2.92,False
0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,False
86,226.2,208,88.28,282.6,228,28.22,288.8,202,22.68,20.8,8,2.82,True
0,21111.11,222,211.2,292.6,1111,26.112,226.6,211,22.211,11.2,11,2.0,False
0,458.8,449,47.0,444.8,405,48.0,498.4,404,8.94,40.5,5,4.78,False
0,444.4,88,88.66,484.8,400,48.84,494.4,484,8.68,44.8,8,8.88,False
28,322.2,28,29.68,269.9,80,32.32,202.6,280,9.02,32.0,2,2.92,False
0,244.9,94,23.4,243.2,92,22.22,232.9,204,22.44,22.2,4,4.23,False
0,488.4,94,84.44,448.0,88,48.44,496.4,88,8.84,8.8,8,4.8,False
0,400.4,94,84.08,448.4,84,40.09,486.6,68,40.68,6.0,6,4.64,False
0,228.9,282,88.92,288.2,22,22.28,208.0,220,9.86,20.2,2,2.28,True
0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,False
0,286.2,200,28.22,282.2,222,22.22,292.9,222,8.68,6.9,8,2.86,False
0,222.2,92,29.211,226.6,2211,211.22,2110.6,202,22.211,22.0,11,2.92,False
0,2112.11,226,110.116,2112.0,229,211.9,220.11,96,9.92,20.11,2,2.112,False
0,326.9,208,32.02,326.9,92,20.99,282.2,202,32.28,20.8,8,2.28,True
37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,True
0,292.2,92,42.33,239.9,92,22.22,233.3,42,2.4,22.2,2,4.04,False
55,474.5,98,46.46,455.4,404,44.54,465.4,85,7.44,8.4,4,4.44,True
0,133.4,113,22.68,121.0,92,10.29,254.7,129,11.46,5.9,4,1.59,False
0,222.2,282,29.82,280.8,200,29.89,228.2,209,20.22,22.0,8,2.92,False
33,141.4,130,24.04,186.4,114,15.84,210.0,111,9.45,7.7,6,2.08,False
0,455.4,79,46.58,455.5,445,40.0,469.4,80,7.64,8.7,4,4.55,False
48,448.5,406,45.45,444.5,406,9.75,478.5,98,8.04,6.5,4,4.76,False
0,232.2,222,22.22,224.2,202,24.44,222.4,93,22.24,4.0,3,2.23,False
0,222.3,99,32.29,226.2,32,22.23,223.6,32,22.2,3.9,2,2.2,False
0,292.2,326,82.82,262.2,99,32.28,326.8,322,9.32,32.0,8,8.28,False
50,454.0,75,46.48,465.8,97,44.09,470.0,85,44.45,40.8,5,4.94,False
0,262.2,36,22.36,233.0,36,23.23,239.2,32,3.32,22.0,9,2.92,True
0,484.4,440,44.86,446.4,408,49.44,488.6,88,4.0,48.8,8,8.48,False
0,222.2,92,23.99,229.2,226,22.22,236.0,23,6.22,20.3,2,2.92,False
0,262.8,92,28.88,262.2,69,32.28,320.8,32,2.96,8.2,32,2.32,False
0,222.9,211,1111.22,202.11,2211,22.62,222.2,200,9.1111,22.2,11,11.22,False
0,220.2,224,24.92,222.4,92,24.2,220.2,24,2.94,4.2,2,2.44,False
24,292.2,209,42.29,229.3,220,22.22,222.4,30,20.24,9.4,4,2.34,False
26,228.8,282,22.2,286.8,208,20.28,228.8,229,2.8,9.0,9,2.28,False
0,94.2,24,23.24,229.3,229,22.22,224.2,222,22.22,22.2,2,4.44,False
0,208.0,29,28.86,322.9,282,20.86,282.2,92,32.82,20.2,8,2.82,False
80,320.2,208,82.32,322.2,209,28.89,288.2,96,2.28,28.2,8,8.82,False
0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,False
0,222.6,230,26.22,236.0,232,23.26,236.3,203,6.23,22.6,9,3.23,False
0,220.6,92,29.0,262.2,222,23.23,220.2,232,9.23,6.2,2,2.63,False
23,222.2,206,33.22,239.6,200,26.22,222.3,23,20.03,9.3,2,2.63,False
0,288.8,82,32.2,329.6,96,28.62,320.0,32,9.28,32.2,2,8.26,False
44,460.6,88,44.8,448.4,49,48.96,444.0,94,8.88,9.8,4,4.84,False
44,242.4,24,49.22,242.9,29,29.4,203.9,222,9.42,2.3,2,2.04,False
54,454.4,449,45.87,447.4,94,49.5,495.7,405,8.84,44.5,5,5.54,False
54,468.6,85,45.66,478.4,444,45.45,466.5,406,7.48,44.6,5,5.45,False
0,444.8,89,40.88,444.8,404,44.96,464.4,94,44.46,40.4,4,4.89,False
0,263.2,93,23.33,220.3,226,20.22,220.3,222,9.92,22.2,6,3.39,False
0,494.6,444,88.08,484.8,406,49.49,448.4,94,4.8,8.8,4,4.08,False
16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,False
30,233.3,26,32.23,229.2,93,29.32,222.2,222,6.23,2.2,3,2.03,False
0,454.0,409,59.78,449.5,444,44.44,475.4,70,7.79,9.4,5,4.46,False
0,21111.9,911,26.11,2116.2,92,22.22,262.9,2011,22.1111,22.2,11,11.26,False
0,404.4,444,47.49,465.4,440,44.57,457.7,74,6.4,7.5,5,4.97,False
0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,False
49,465.8,444,48.49,486.9,89,45.89,449.7,78,44.44,0.0,0,0.0,False
82,288.2,202,29.08,208.8,202,22.82,208.2,29,9.22,8.6,8,2.82,False
0,233.2,92,24.22,224.2,29,29.22,222.2,44,20.22,4.9,4,2.2,False
47,274.9,102,46.73,186.6,118,15.86,245.0,123,11.03,8.8,2,2.38,False
0,286.9,98,20.22,292.2,228,26.8,809.2,28,28.92,22.2,2,8.08,True
0,282.6,320,32.82,322.8,96,32.96,268.8,92,2.82,32.2,2,8.0,True
22,293.2,229,33.22,206.2,93,9.03,232.2,92,2.03,3.3,3,2.23,False
88,408.0,86,44.88,444.8,448,40.88,444.8,444,9.94,8.4,4,4.0,False
0,455.6,408,46.44,454.9,85,49.8,444.4,94,9.64,44.4,4,5.84,True
44,449.4,74,45.4,445.9,74,40.55,474.5,84,7.84,40.4,6,4.75,False
0,222.8,202,86.28,289.8,282,26.28,220.2,208,2.68,20.6,2,2.86,True
0,98.8,92,26.8,226.9,68,22.29,290.2,208,8.88,20.0,2,2.2,False
0,208.2,328,82.92,322.8,208,28.28,326.2,206,20.32,6.2,28,2.82,False
0,222.11,222,116.112,209.2,202,22.112,262.2,92,2.2,9.2,11,2.112,False
0,226.11,116,116.116,290.11,222,26.22,2112.11,29,11.22,22.0,9,2.92,False
0,465.4,448,44.78,479.4,69,45.44,444.7,444,9.66,40.5,4,4.78,False
0,266.9,99,23.32,232.9,92,23.22,239.2,39,3.32,2.2,3,2.92,False
0,288.8,68,89.66,209.8,98,22.88,220.6,209,9.28,9.2,2,2.26,False
0,242.2,224,23.22,222.4,43,9.44,223.2,24,22.09,24.2,2,2.23,False
14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,False
0,326.0,28,86.32,288.2,322,26.0,322.2,98,6.62,8.6,2,0.92,False
0,497.8,66,55.65,455.9,449,44.58,477.5,94,7.98,40.9,5,4.94,True
26,233.2,223,26.23,232.3,226,22.22,223.3,202,9.62,23.9,3,2.29,False
23,230.2,236,22.63,220.3,92,23.22,236.9,202,6.26,23.3,3,3.39,False
86,406.4,46,48.44,409.8,44,44.88,490.4,444,8.84,44.4,4,8.44,False
0,467.6,400,48.49,454.5,90,45.45,484.4,407,44.66,47.5,5,4.67,False
0,488.4,488,84.84,488.4,449,49.98,486.4,48,44.84,46.9,6,4.86,False
0,468.8,457,48.7,444.4,407,40.54,404.8,406,9.44,45.5,4,4.49,False
0,444.0,90,44.48,484.6,400,45.44,448.4,95,5.76,44.5,4,5.54,False
37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,False
0,404.0,69,54.68,445.4,440,49.45,440.5,85,40.84,9.6,5,4.59,False
82,226.8,28,86.86,202.2,222,8.69,222.0,88,2.88,8.6,2,2.82,False
20,282.9,86,89.32,322.8,92,28.0,268.8,32,32.08,32.8,8,8.82,False
0,220.2,88,29.02,229.2,208,28.22,282.9,89,22.69,8.2,9,2.22,False
0,242.4,24,22.44,244.4,200,24.22,202.2,34,2.49,22.2,2,4.92,False
0,249.2,92,22.04,222.3,229,20.42,202.2,220,9.22,3.4,2,2.23,False
0,484.4,468,46.48,468.8,444,44.84,489.9,84,40.8,44.4,4,8.46,True
0,408.8,440,44.86,449.4,84,40.94,464.4,448,4.84,40.4,8,4.89,False
0,222.2,222,33.23,222.9,92,22.32,233.3,22,3.22,6.2,2,2.32,False
0,93.2,200,26.69,302.2,33,26.22,232.3,220,3.22,2.6,2,2.03,False
0,220.2,204,24.92,200.2,22,22.02,244.4,200,22.32,22.3,2,4.24,False
0,28.2,222,28.29,288.2,208,22.82,288.0,200,22.28,28.0,8,2.86,False
0,449.0,78,44.95,488.0,446,45.98,455.0,404,40.58,44.4,5,5.04,False
0,406.4,95,48.04,457.6,445,45.4,494.5,69,8.66,8.4,5,4.49,False
0,42.3,23,22.49,232.0,222,22.22,242.3,224,4.42,9.2,4,2.24,False
18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,False
69,696.0,99,99.66,666.9,96,69.9,669.0,609,6.66,9.9,9,6.66,False
0,119.11,66,211.22,229.11,202,211.22,2211.2,226,20.211,22.11,2,11.112,False
22,222.8,282,29.28,299.8,92,26.98,292.2,22,8.26,2.8,8,2.08,False
0,222.2,42,44.33,223.0,42,22.93,203.2,220,9.22,3.4,2,2.2,False
0,486.4,408,46.89,488.4,448,49.84,498.4,444,8.84,4.4,6,4.08,False
0,2119.9,200,22.211,222.2,99,22.62,2611.2,209,22.112,11.6,2,2.112,False
0,489.4,46,84.48,486.4,68,48.44,444.0,94,40.98,8.8,8,4.44,False
22,293.2,249,44.49,240.9,90,24.44,49.4,24,2.02,24.4,2,4.24,False
0,108.6,108,18.46,209.9,126,17.84,222.6,117,10.02,7.9,5,2.13,True
0,448.8,94,40.48,444.8,409,48.44,488.4,98,44.84,44.4,4,8.44,False
0,488.4,49,46.88,488.8,448,40.0,469.4,80,4.64,8.4,4,4.88,False
0,224.2,249,22.22,222.9,224,20.43,244.4,222,22.42,2.2,4,2.24,True
39,260.3,230,22.32,223.2,222,23.22,293.6,92,3.3,20.2,3,2.23,False
0,2112.9,112,211.99,2116.6,112,22.112,2211.6,222,2.112,11.11,6,2.211,False
0,328.2,80,29.82,292.2,322,26.28,288.2,202,8.32,9.2,2,2.62,False
0,226.0,211,22.112,209.2,29,9.112,222.2,2011,22.211,6.11,2,2.112,False
0,329.9,328,80.88,329.8,322,32.28,268.2,29,2.82,9.8,2,2.68,False
0,229.2,22,22.96,222.2,63,23.2,222.9,200,9.62,20.3,2,2.23,True
0,294.2,222,44.24,223.9,222,24.22,222.4,224,4.04,24.2,2,4.42,False
32,92.2,82,26.86,208.6,98,32.82,328.9,322,2.88,32.2,2,8.08,False
0,440.8,77,57.54,448.5,87,44.64,485.9,400,8.48,7.6,5,4.05,False
0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,False
46,445.7,88,44.77,494.0,449,46.44,445.5,84,9.7,44.5,7,5.05,False
0,220.0,202,24.4,293.2,22,23.39,220.2,244,4.2,9.2,2,2.32,True
0,288.8,98,82.2,320.8,80,32.29,298.8,88,8.32,8.8,8,2.32,False
0,669.9,66,69.99,699.9,699,66.66,666.6,609,6.66,9.9,6,6.9,False
0,222.9,280,88.22,802.6,22,28.22,292.8,82,8.62,8.8,2,2.29,False
54,409.5,408,55.64,409.6,64,9.54,489.7,445,8.54,9.4,6,4.46,True
0,228.8,289,22.82,269.8,98,22.98,288.8,220,20.62,8.9,8,2.2,False
0,822.6,202,88.28,269.8,86,22.28,288.2,200,22.88,8.2,8,2.82,True
48,449.4,444,48.48,464.8,448,48.84,440.8,448,9.94,4.6,4,4.08,False
44,447.4,94,56.94,458.7,54,44.79,459.5,85,6.47,44.5,4,5.05,False
0,444.5,79,44.49,458.0,445,45.45,477.5,75,7.99,6.0,44,4.64,False
32,322.2,329,29.26,328.6,288,29.02,280.0,92,6.28,28.9,20,8.28,True
0,244.2,94,24.42,233.9,92,22.39,292.2,224,4.9,4.4,4,2.44,False
0,280.9,322,80.28,209.8,328,32.82,329.9,208,32.28,2.2,2,2.0,False
0,405.7,94,54.65,446.4,97,48.59,454.4,66,6.94,7.6,5,4.05,False
22,2211.9,911,22.112,220.11,2011,22.112,202.11,92,2.2,22.2,11,11.02,False
84,468.4,444,48.68,444.4,408,48.89,444.6,404,8.49,40.8,8,4.48,False
0,488.8,86,84.89,446.8,484,48.8,494.4,404,8.64,8.4,4,4.84,False
0,448.4,448,80.88,444.0,448,44.0,489.9,408,44.4,9.6,4,4.89,False
20,2112.2,2011,20.116,2211.9,911,22.911,220.11,220,9.26,9.2,11,2.211,False
0,260.8,208,32.29,202.2,320,8.2,329.2,328,8.82,9.8,8,2.68,False
0,292.4,202,42.24,242.2,93,29.92,204.2,202,9.22,24.0,4,4.42,False
49,448.4,49,88.84,484.4,444,48.9,484.4,444,44.68,44.9,8,8.48,False
0,222.8,229,80.22,282.8,208,22.99,262.9,92,2.88,8.2,2,2.88,False
0,464.4,404,44.66,494.0,408,44.84,488.8,80,8.48,8.4,6,4.88,False
110,60.6,2211,20.11,2611.9,96,22.2,2112.11,99,11.911,211.11,2,11.119,False
82,222.2,208,22.02,228.8,288,29.22,286.8,26,8.88,6.2,8,2.68,False
0,322.2,32,86.26,328.2,90,29.32,298.2,99,8.28,2.0,6,2.89,False
0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,False
0,404.8,448,47.48,445.7,95,44.44,494.4,97,8.64,40.0,5,4.7,False
32,292.2,202,33.03,226.0,32,22.96,230.2,220,20.33,22.3,3,3.22,False
119,200.11,611,112.011,220.2,92,211.211,21111.11,226,22.22,20.11,2,2.112,False
0,228.8,282,88.8,208.2,82,9.2,289.6,282,6.28,22.8,9,2.62,False
0,229.0,32,20.23,232.3,203,23.92,239.3,92,3.32,22.3,3,3.22,False
0,448.5,445,45.45,476.4,84,45.49,495.6,444,8.74,44.4,5,5.55,False
